job_id,company,description,requirements,min_experience_years,min_cgpa,posted_at,title
J0012,CloudCore,"Software Engineer at CloudCore. Looking for engineers with experience in JavaScript, Python, Kubernetes. Responsible for delivering high-quality software.",JavaScript;Python;Kubernetes,0,7,9/6/2025,Software Engineer
J0013,CoreLogic,"ML Engineer at CoreLogic. Looking for engineers with experience in MongoDB, Docker, MATLAB, Git, Java, Postgres. Responsible for delivering high-quality software.",MongoDB;Docker;MATLAB;Git;Java;Postgres,0,6.5,10/22/2025,ML Engineer
J0014,CoreLogic,"ML Engineer at CoreLogic. Looking for engineers with experience in C++, CSS, Kubernetes, React, Node.js, Flask. Responsible for delivering high-quality software.",C++;CSS;Kubernetes;React;Node.js;Flask,1,6,10/14/2025,ML Engineer
J0015,TechVista,"Mobile Developer at TechVista. Looking for engineers with experience in AWS, Redux, Docker, Django. Responsible for delivering high-quality software.",AWS;Redux;Docker;Django,3,6,10/4/2025,Mobile Developer
J0016,TechVista,"Cloud Engineer at TechVista. Looking for engineers with experience in HTML, NumPy, Node.js. Responsible for delivering high-quality software.",HTML;NumPy;Node.js,1,7.5,8/3/2025,Cloud Engineer
J0017,ByteForge,"ML Engineer at ByteForge. Looking for engineers with experience in Pandas, TypeScript, Java, CSS. Responsible for delivering high-quality software.",Pandas;TypeScript;Java;CSS,2,6,9/27/2025,ML Engineer
J0018,QuantumLeap,"Cloud Engineer at QuantumLeap. Looking for engineers with experience in Node.js, MongoDB, GraphQL, Java, REST. Responsible for delivering high-quality software.",Node.js;MongoDB;GraphQL;Java;REST,3,6.5,10/15/2025,Cloud Engineer
J0019,QuantumLeap,"Data Scientist at QuantumLeap. Looking for engineers with experience in Postgres, Python, React, Git, Flask, TensorFlow. Responsible for delivering high-quality software.",Postgres;Python;React;Git;Flask;TensorFlow,0,7.5,7/20/2025,Data Scientist
J0020,Innotech Labs,"Data Scientist at Innotech Labs. Looking for engineers with experience in TensorFlow, Git, MATLAB. Responsible for delivering high-quality software.",TensorFlow;Git;MATLAB,1,8,10/10/2025,Data Scientist
J0021,CoreLogic,"DevOps Engineer at CoreLogic. Looking for engineers with experience in Django, React, Kubernetes. Responsible for delivering high-quality software.",Django;React;Kubernetes,0,8,9/16/2025,DevOps Engineer
J0022,CoreLogic,"Product Engineer at CoreLogic. Looking for engineers with experience in Java, MongoDB, Pandas. Responsible for delivering high-quality software.",Java;MongoDB;Pandas,0,8,7/20/2025,Product Engineer
J0023,DataPulse,"Backend Developer at DataPulse. Looking for engineers with experience in Django, Postgres, CSS, Git, Pandas, MongoDB. Responsible for delivering high-quality software.",Django;Postgres;CSS;Git;Pandas;MongoDB,1,6.5,10/27/2025,Backend Developer
J0024,ApexAI,"Data Analyst at ApexAI. Looking for engineers with experience in TypeScript, JavaScript, Flask, GraphQL, Java. Responsible for delivering high-quality software.",TypeScript;JavaScript;Flask;GraphQL;Java,1,7.5,8/19/2025,Data Analyst
J0025,GreenGrid,"ML Engineer at GreenGrid. Looking for engineers with experience in Node.js, TensorFlow, React, CSS, MongoDB, Postgres. Responsible for delivering high-quality software.",Node.js;TensorFlow;React;CSS;MongoDB;Postgres,3,7.5,9/24/2025,ML Engineer
J0026,OrbitSoft,"AI Research Intern at OrbitSoft. Looking for engineers with experience in C++, HTML, JavaScript, Docker. Responsible for delivering high-quality software.",C++;HTML;JavaScript;Docker,0,7,8/21/2025,AI Research Intern
J0027,BlueWave,"DevOps Engineer at BlueWave. Looking for engineers with experience in Redux, Pandas, HTML. Responsible for delivering high-quality software.",Redux;Pandas;HTML,1,6.5,7/8/2025,DevOps Engineer
J0028,OrbitSoft,"Software Engineer at OrbitSoft. Looking for engineers with experience in Redux, PyTorch, Django, Postgres, TypeScript. Responsible for delivering high-quality software.",Redux;PyTorch;Django;Postgres;TypeScript,0,8,7/17/2025,Software Engineer
J0029,CloudCore,"Full Stack Developer at CloudCore. Looking for engineers with experience in Redux, CSS, JavaScript, PyTorch, SQL, Postgres. Responsible for delivering high-quality software.",Redux;CSS;JavaScript;PyTorch;SQL;Postgres,1,7,10/15/2025,Full Stack Developer
J0030,GreenGrid,"Backend Developer at GreenGrid. Looking for engineers with experience in Java, Linux, JavaScript. Responsible for delivering high-quality software.",Java;Linux;JavaScript,0,6,10/4/2025,Backend Developer
J0031,BlueWave,"Backend Developer at BlueWave. Looking for engineers with experience in C, Java, TensorFlow, Pandas. Responsible for delivering high-quality software.",C;Java;TensorFlow;Pandas,1,7.5,8/23/2025,Backend Developer
J0032,TechVista,"QA Engineer at TechVista. Looking for engineers with experience in Java, MongoDB, Django, PyTorch, MATLAB. Responsible for delivering high-quality software.",Java;MongoDB;Django;PyTorch;MATLAB,0,6,7/2/2025,QA Engineer
J0033,CloudCore,"Product Engineer at CloudCore. Looking for engineers with experience in GraphQL, Linux, C++, Docker, Pandas, Java. Responsible for delivering high-quality software.",GraphQL;Linux;C++;Docker;Pandas;Java,0,8,7/26/2025,Product Engineer
J0034,ApexAI,"Product Engineer at ApexAI. Looking for engineers with experience in Git, MATLAB, Java, Linux, PyTorch. Responsible for delivering high-quality software.",Git;MATLAB;Java;Linux;PyTorch,0,8,10/24/2025,Product Engineer
J0035,SoftWave Solutions,"Data Analyst at SoftWave Solutions. Looking for engineers with experience in C++, Node.js, HTML, C, TypeScript. Responsible for delivering high-quality software.",C++;Node.js;HTML;C;TypeScript,0,8,9/10/2025,Data Analyst
J0036,CloudCore,"Data Scientist at CloudCore. Looking for engineers with experience in TensorFlow, Pandas, React, CSS. Responsible for delivering high-quality software.",TensorFlow;Pandas;React;CSS,3,8,9/6/2025,Data Scientist
J0037,SoftWave Solutions,"Data Analyst at SoftWave Solutions. Looking for engineers with experience in NumPy, Docker, MATLAB, Azure, GraphQL. Responsible for delivering high-quality software.",NumPy;Docker;MATLAB;Azure;GraphQL,0,6.5,7/20/2025,Data Analyst
J0038,GreenGrid,"Frontend Developer at GreenGrid. Looking for engineers with experience in HTML, Postgres, NumPy, React, CSS, PyTorch. Responsible for delivering high-quality software.",HTML;Postgres;NumPy;React;CSS;PyTorch,1,7,7/6/2025,Frontend Developer
J0039,GreenGrid,"DevOps Engineer at GreenGrid. Looking for engineers with experience in REST, MongoDB, Azure, Redux, Pandas. Responsible for delivering high-quality software.",REST;MongoDB;Azure;Redux;Pandas,1,7,8/13/2025,DevOps Engineer
J0040,OrbitSoft,"Data Scientist at OrbitSoft. Looking for engineers with experience in AWS, Redux, CSS, TypeScript. Responsible for delivering high-quality software.",AWS;Redux;CSS;TypeScript,0,7,9/2/2025,Data Scientist
J0041,ApexAI,"Cloud Engineer at ApexAI. Looking for engineers with experience in TypeScript, Java, SQL. Responsible for delivering high-quality software.",TypeScript;Java;SQL,2,6,8/24/2025,Cloud Engineer
J0042,NexGen Systems,"Frontend Developer at NexGen Systems. Looking for engineers with experience in SQL, Django, Node.js. Responsible for delivering high-quality software.",SQL;Django;Node.js,0,6,7/23/2025,Frontend Developer
J0043,TechVista,"AI Research Intern at TechVista. Looking for engineers with experience in CSS, HTML, TensorFlow, JavaScript, C. Responsible for delivering high-quality software.",CSS;HTML;TensorFlow;JavaScript;C,0,7.5,9/14/2025,AI Research Intern
J0044,DataPulse,"Frontend Developer at DataPulse. Looking for engineers with experience in MongoDB, GraphQL, TensorFlow, Django, Flask. Responsible for delivering high-quality software.",MongoDB;GraphQL;TensorFlow;Django;Flask,0,6,8/17/2025,Frontend Developer
J0045,OrbitSoft,"Full Stack Developer at OrbitSoft. Looking for engineers with experience in TypeScript, C++, Postgres, Git. Responsible for delivering high-quality software.",TypeScript;C++;Postgres;Git,1,6.5,8/28/2025,Full Stack Developer
J0046,TechVista,"AI Research Intern at TechVista. Looking for engineers with experience in PyTorch, Pandas, SQL. Responsible for delivering high-quality software.",PyTorch;Pandas;SQL,0,8,9/11/2025,AI Research Intern
J0047,CoreLogic,"Backend Developer at CoreLogic. Looking for engineers with experience in Redux, Postgres, MongoDB. Responsible for delivering high-quality software.",Redux;Postgres;MongoDB,1,7.5,7/2/2025,Backend Developer
J0048,SoftWave Solutions,"AI Research Intern at SoftWave Solutions. Looking for engineers with experience in TypeScript, Pandas, REST, PyTorch. Responsible for delivering high-quality software.",TypeScript;Pandas;REST;PyTorch,0,7.5,10/23/2025,AI Research Intern
J0049,GreenGrid,"ML Engineer at GreenGrid. Looking for engineers with experience in Postgres, CSS, TensorFlow. Responsible for delivering high-quality software.",Postgres;CSS;TensorFlow,0,7,8/26/2025,ML Engineer
J0050,CloudCore,"Data Analyst at CloudCore. Looking for engineers with experience in Java, NumPy, TypeScript, AWS. Responsible for delivering high-quality software.",Java;NumPy;TypeScript;AWS,1,8,8/17/2025,Data Analyst
